<<<<<<< HEAD
,type,calories,sodium
1,Beef,186.0,495.0
2,Beef,181.0,477.0
3,Beef,176.0,425.0
4,Beef,149.0,322.0
5,Beef,184.0,482.0
6,Beef,190.0,587.0
7,Beef,158.0,370.0
8,Beef,139.0,322.0
9,Beef,175.0,479.0
10,Beef,148.0,375.0
11,Beef,152.0,330.0
12,Beef,111.0,300.0
13,Beef,141.0,386.0
14,Beef,153.0,401.0
15,Beef,190.0,645.0
16,Beef,157.0,440.0
17,Beef,131.0,317.0
18,Beef,149.0,319.0
19,Beef,135.0,298.0
20,Beef,132.0,253.0
21,Meat,173.0,458.0
22,Meat,191.0,506.0
23,Meat,182.0,473.0
24,Meat,190.0,545.0
25,Meat,172.0,496.0
26,Meat,147.0,360.0
27,Meat,146.0,387.0
28,Meat,139.0,386.0
29,Meat,175.0,507.0
30,Meat,136.0,393.0
31,Meat,179.0,405.0
32,Meat,153.0,372.0
33,Meat,107.0,144.0
34,Meat,195.0,511.0
35,Meat,135.0,405.0
36,Meat,140.0,428.0
37,Meat,138.0,339.0
38,Poultry,129.0,430.0
39,Poultry,132.0,375.0
40,Poultry,102.0,396.0
41,Poultry,106.0,383.0
42,Poultry,94.0,387.0
43,Poultry,102.0,542.0
44,Poultry,87.0,359.0
45,Poultry,99.0,357.0
46,Poultry,107.0,528.0
47,Poultry,113.0,513.0
48,Poultry,135.0,426.0
49,Poultry,142.0,513.0
50,Poultry,86.0,358.0
51,Poultry,143.0,581.0
52,Poultry,152.0,588.0
53,Poultry,146.0,522.0
54,Poultry,144.0,545.0
=======
,type,calories,sodium
1,Beef,186.0,495.0
2,Beef,181.0,477.0
3,Beef,176.0,425.0
4,Beef,149.0,322.0
5,Beef,184.0,482.0
6,Beef,190.0,587.0
7,Beef,158.0,370.0
8,Beef,139.0,322.0
9,Beef,175.0,479.0
10,Beef,148.0,375.0
11,Beef,152.0,330.0
12,Beef,111.0,300.0
13,Beef,141.0,386.0
14,Beef,153.0,401.0
15,Beef,190.0,645.0
16,Beef,157.0,440.0
17,Beef,131.0,317.0
18,Beef,149.0,319.0
19,Beef,135.0,298.0
20,Beef,132.0,253.0
21,Meat,173.0,458.0
22,Meat,191.0,506.0
23,Meat,182.0,473.0
24,Meat,190.0,545.0
25,Meat,172.0,496.0
26,Meat,147.0,360.0
27,Meat,146.0,387.0
28,Meat,139.0,386.0
29,Meat,175.0,507.0
30,Meat,136.0,393.0
31,Meat,179.0,405.0
32,Meat,153.0,372.0
33,Meat,107.0,144.0
34,Meat,195.0,511.0
35,Meat,135.0,405.0
36,Meat,140.0,428.0
37,Meat,138.0,339.0
38,Poultry,129.0,430.0
39,Poultry,132.0,375.0
40,Poultry,102.0,396.0
41,Poultry,106.0,383.0
42,Poultry,94.0,387.0
43,Poultry,102.0,542.0
44,Poultry,87.0,359.0
45,Poultry,99.0,357.0
46,Poultry,107.0,528.0
47,Poultry,113.0,513.0
48,Poultry,135.0,426.0
49,Poultry,142.0,513.0
50,Poultry,86.0,358.0
51,Poultry,143.0,581.0
52,Poultry,152.0,588.0
53,Poultry,146.0,522.0
54,Poultry,144.0,545.0
>>>>>>> 66a4bfa1d24d39a79fd320d712ffbdfa1fcd9939
